Date,Ticker,MOM_1M,MOM_3M,MOM_6M,MOM_12M,VOL_1M_STD,VOL_3M_STD,SMA50,SMA200,PriceToSMA50,PriceToSMA200
2022-08-05,PG,-0.002335103493445382,-0.058663755036518,-0.11385357041671554,0.03908907388381078,0.01830840055978045,0.017678808997112366,132.95872467041016,139.7285754776001,1.0158612157957552,0.9666427302551914
2022-08-05,TRV,-0.06496677638895937,-0.07360086724836609,-0.06871208010315198,0.0759966032601574,0.015961194420130498,0.015268618780356697,156.3802261352539,156.84760871887207,0.9616898884420987,0.958824195376257
2022-08-05,UNH,0.03941666663605964,0.08194697862604437,0.09700175564580034,0.27659841046400224,0.017664555738108764,0.017676799530971243,486.233115234375,467.3022143554688,1.0562628289370026,1.0990531395805316
2022-08-05,V,0.06245594485482167,0.0524044185444113,-0.06654244938504951,-0.10018242290883929,0.013039284145084925,0.019014082455543133,201.45220947265625,206.23072242736816,1.0490828466278634,1.0247748487012072
2022-08-05,VZ,-0.12057235792856665,-0.04980862686094438,-0.15493117783520566,-0.15883420284222838,0.019494009885057867,0.014705456540874493,40.765159912109375,41.75459966659546,0.91587597764791,0.8941728812298013
2022-08-05,WBA,0.020208161836461094,-0.10419336837006997,-0.21695552120930273,-0.1442233697979072,0.01224737263167645,0.019658941846399627,33.74985347747803,38.014884366989136,0.9730909984927992,0.8639163097889991
2022-08-05,WMT,0.010004109355937091,-0.1878625169236679,-0.10032557711525698,-0.12405279734902028,0.02366075354841656,0.024879554465170785,40.2765486907959,44.478219985961914,1.008626559502171,0.9133458296541715
2022-08-12,AAPL,0.1490812343758758,0.18970077445655686,0.0027401583419488875,0.15045582928151147,0.016851270507948404,0.02209166131170991,146.64833374023436,157.33103256225587,1.1581466128141655,1.0795090341054487
2022-08-12,AMGN,0.01133665077193673,0.02288778782794456,0.09860440499889643,0.11758984960497078,0.009746386772329991,0.00943450884597301,224.81466583251952,211.9220369720459,1.013367745323131,1.075017654064568
2022-08-12,AXP,0.19484528156053244,0.08255770741622516,-0.15801831058904595,-0.0044717556110863204,0.015393240274444666,0.022575097659516808,144.44609436035157,161.47968238830566,1.1074497900644424,0.990631109183955
2022-08-12,BA,0.14428721090401725,0.32241772957881065,-0.2521898811324154,-0.3372870154837694,0.02200338594328688,0.033190472495401954,147.1390008544922,179.0388503265381,1.1553021599029991,0.9494587637439003
2022-08-12,CAT,0.15388667102622944,-0.02402175989184966,-0.01943445120946147,-0.09025471223526181,0.022602547550280978,0.024167323479657412,180.01482452392577,192.11204444885254,1.0387767187217454,0.9733653570587011
2022-08-12,CRM,0.16479216036724892,0.16864954248834166,-0.13653515959167725,-0.26855518890481767,0.02680636866560176,0.03203388653265797,175.94269012451173,211.16173057556153,1.0715934367548656,0.8928655370863026
2022-08-12,CSCO,0.09631904398073983,-0.026449133114801435,-0.14736664036489172,-0.16208367100094542,0.013203305303017977,0.023988488226458417,40.35521255493164,47.43303047180176,1.060965182765092,0.9026510648380428
2022-08-12,CVX,0.16202218042827216,-0.021757704385869832,0.17992418764324755,0.48652880727034725,0.024416562722103234,0.023508372223383013,137.77611541748047,128.41922580718995,1.040921741901126,1.116765446538807
2022-08-12,DIS,0.28044232202097213,0.15312298760636234,-0.22444246783292102,-0.38851437127497646,0.023068373575639692,0.022954953589168325,99.9087631225586,129.0781649017334,1.2019615766686058,0.9303393376968294
2022-08-12,DOW,0.13432354628338905,-0.1708163230079717,-0.0635884637808355,-0.08958226293762399,0.015556157188208833,0.01961886902080881,46.77884765625,50.236196517944336,1.027199817062249,0.956506007331167
2022-08-12,GS,0.2283362320956801,0.17307974443429444,-0.03427142847406156,-0.13739698982074394,0.01750200843268928,0.02020820409299363,288.0760260009766,317.39759674072263,1.1404489825233626,1.0350929374256217
2022-08-12,HD,0.08413719049736273,0.08970770848098347,-0.1078355320713015,-0.03746660316000924,0.012859146595406639,0.016890555517022877,272.89245239257815,309.0489779663086,1.0753427176314758,0.9495352914868539
2022-08-12,HON,0.17472711077082717,0.045363317544040105,0.06205429471101266,-0.1239195483689564,0.01250239742042055,0.014536185452628657,173.07573516845704,184.0470622253418,1.1004680971933487,1.0348675096914777
2022-08-12,IBM,-0.02447047616169604,0.020838117072733447,0.028241226109285478,0.02936158232027883,0.015072697030460897,0.01471279124900266,121.28735412597656,114.88925590515137,0.9972801121529484,1.052817908624516
2022-08-12,INTC,-0.03331064179540988,-0.16085768327557967,-0.284470920329204,-0.36142206305858454,0.02767638353344462,0.023397741095873188,36.05954681396484,42.94405694961548,0.952758851239265,0.8000187881408178
2022-08-12,JNJ,-0.06090221315063429,-0.06688530330954436,-0.011814782376123946,-0.03290867029923024,0.009842365057541979,0.010982823674352153,160.58545471191405,157.1578704071045,0.9481625136696832,0.9688417640428548
2022-08-12,JPM,0.12295497427708926,0.04286929528903832,-0.22825759442383375,-0.253037350709313,0.01652920843254316,0.018982810002893487,107.76440795898438,127.17369384765625,1.0533420206701578,0.8925806572216022
2022-08-12,KO,0.02415126780557911,-0.005436766908327063,0.051925230744745185,0.14401270641287048,0.009583931313687517,0.014808432785008336,57.484793701171874,55.5181681060791,1.020031877061238,1.0561645677762168
2022-08-12,MCD,0.037224029078399924,0.07661149860046815,0.03153562035661196,0.12443492055069102,0.010995636962145556,0.012870140278698608,235.87707580566405,233.94327026367188,1.043475018065277,1.0521005184722376
2022-08-12,MMM,0.17100911049387357,0.027615052472149876,-0.028414043364912454,-0.24459861503835867,0.014863874378331568,0.014756089075119362,101.67024520874024,114.02623950958252,1.1109279637277352,0.9905467282550644
2022-08-12,MRK,-0.0309381248388224,0.010240307337469202,0.19001133115400579,0.21519057726870502,0.012831552027389208,0.013226473729366204,83.29687606811524,76.63156204223633,1.0109677676181064,1.0989004348068883
2022-08-12,MSFT,0.13879650964159168,0.1361368689567784,-0.030846847596970983,0.015352539033479343,0.020312806856203493,0.02089532382951073,258.99494415283203,287.0124432373047,1.1012232057606464,0.9937243119454783
2022-08-12,NKE,0.11733078745953762,0.07546301544188225,-0.2165444650479182,-0.3771642343484766,0.022848691721045436,0.02693837681099433,106.0263264465332,129.5246156692505,1.0509274757382783,0.8602687530746377
2022-08-12,PG,0.016061752138035183,-0.029158739366093395,-0.05707738461767267,0.04932079941902769,0.01833003345492409,0.01765296844280982,132.94442291259764,139.8984923553467,1.0296601410063078,0.9784778301576592
2022-08-12,TRV,0.09713044444771912,-0.005196053622229342,0.005478288571369306,0.11377936280518552,0.012893855159286543,0.01594501904211789,155.45910919189453,157.02732040405274,1.0440680613107036,1.033641090795059
2022-08-12,UNH,0.07894142906083854,0.13067458685754613,0.11722336621948622,0.30541803055975625,0.01693352807746462,0.017337158956493695,490.0774462890625,469.60192413330077,1.0648995249584925,1.1113311358535927
2022-08-12,V,0.027751256773305626,0.08748712766729551,-0.06162049732963427,-0.08534862438599759,0.013843385394471698,0.017849811939334582,201.67675994873048,205.77236625671387,1.027693002885581,1.0072382352126588
2022-08-12,VZ,-0.11178503477709213,-0.04995726676015315,-0.13645031854967574,-0.16052418112605096,0.019742798579256732,0.014650401245201797,40.28099380493164,41.621454086303714,0.9310086366441287,0.9010245785079549
2022-08-12,WBA,0.0963947742048319,-0.0497141191689706,-0.17106651939513476,-0.15367941723442533,0.010897726041336438,0.019954412472530957,33.46127796173096,37.85753115653992,1.02175933194958,0.9031062505102417
2022-08-12,WMT,0.03819000318556005,-0.10487965678144398,-0.016941444714559856,-0.10402893459798858,0.023807710337605762,0.02490853818201868,40.38484062194824,44.345524616241455,1.055318697673064,0.9610637776800502
2022-08-19,AAPL,0.10040738118680825,0.22355551236415577,0.018367829074123227,0.16189829854130625,0.015727222933535224,0.01994471919272617,149.176015625,157.92522857666015,1.1346855413238766,1.0718228465936719
2022-08-19,AMGN,0.028151156808822343,0.03226907012634651,0.13935548216273339,0.14410305566689768,0.008142651063575332,0.00944102630232927,225.31197875976562,213.03226837158203,1.0290719780130384,1.088390249161303
2022-08-19,AXP,0.07724228550080034,0.05585942917830932,-0.18098718889200383,0.03154345818167871,0.012632651908067923,0.021204100680300233,144.19574829101563,161.26571449279785,1.085290832671655,0.970412863159812
2022-08-19,BA,0.009311537067799922,0.24797043483359446,-0.2707522067753239,-0.2640814527173395,0.02149233926145808,0.03184243313905544,149.9774005126953,178.00145027160644,1.0862969861592877,0.9152734313139087
2022-08-19,CAT,0.07762994509219585,-0.048546058623158465,0.016131344065349617,-0.02217963989649979,0.021473262904626957,0.023695382029387438,177.4819827270508,192.02808464050293,1.0469639079386288,0.9676565309312907
2022-08-19,CRM,-0.00856085394764368,0.16639637739387353,-0.08478229210189166,-0.3199811126294462,0.023485005135657114,0.03129792986613576,176.0973812866211,208.38850189208983,1.0361459330973097,0.8755885463570522
2022-08-19,CSCO,0.08839363927624173,0.16365834866208212,-0.11977201965730504,-0.13370487531555098,0.016327622923850822,0.014457761597423143,40.59870559692383,47.2586127281189,1.101890516374148,0.9466068953754723
2022-08-19,CVX,0.09018774841565896,-0.04747895115003763,0.1829440654803607,0.5534298604654833,0.02425579211645328,0.02306396280146038,135.95928527832032,129.4928214263916,1.0500330961238327,1.1024684433857135
2022-08-19,DIS,0.14253757606205533,0.15257042684941277,-0.2414532881761165,-0.36607792563209074,0.022719360395548286,0.021946025683074036,101.33790802001953,127.92501049041748,1.1710715652673,0.9276836649140435
2022-08-19,DOW,0.0765646482961344,-0.20404748618205834,-0.07508935834752906,-0.04191047403005958,0.013348303244176855,0.019314110457592307,45.7755542755127,50.251838760375975,1.0414554945138235,0.9486857335106946
2022-08-19,GS,0.06729270624040955,0.13120167305092112,0.0125841328007998,-0.09732019785414489,0.012107185304390445,0.01953268314772538,291.20928649902345,316.1171363830566,1.1136703816196811,1.0259208372480533
2022-08-19,HD,0.052125798746815194,0.11660640781544016,-0.06728032166586757,0.016605869283052202,0.014992088585314995,0.015879103971528117,274.7589050292969,308.09392044067386,1.0898469692189967,0.971928168799326
2022-08-19,HON,0.11794480331574,0.05019317527468898,0.10353910538055944,-0.10217223458391304,0.010605273374231977,0.013863988629672133,173.8277587890625,183.7709578704834,1.0994710663014033,1.0399825604831896
2022-08-19,IBM,0.09708431161965735,0.07753612089900416,0.12643572988107463,0.09731368224268909,0.0069763766550805925,0.013167636525380305,121.06544235229492,115.40820697784424,1.0316139515189566,1.082182997621807
2022-08-19,INTC,-0.12782269168761112,-0.16171626515337942,-0.2781371524954459,-0.36108561005196843,0.025818757508174042,0.022404855669780534,35.40728805541992,42.67437397003174,0.950694507569717,0.788799252353778
2022-08-19,JNJ,-0.01174342444904862,-0.020573540451602184,0.031403908924285795,-0.027991868812051613,0.0085943386870636,0.010900606228553208,159.6962060546875,157.31862380981445,0.9765717503231768,0.9913308398586913
2022-08-19,JPM,0.0282984644040929,0.011507867292855065,-0.22792210836007676,-0.23458394978828953,0.01456604850825247,0.01862817625353573,107.10801467895507,126.14758647918701,1.0294256264380752,0.8740534653480155
2022-08-19,KO,0.060240897273692154,0.08985351379749056,0.0627557908320967,0.16647524704374905,0.007912579943868982,0.011185912146785375,57.69383407592773,55.752196369171145,1.039789730351582,1.0760016660066456
